"ResourceType","SingularDisplayName","PluralDisplayName","LowerSingularDisplayName","LowerPluralDisplayName","IsPreview","Description","Icon","Links"
"microsoft.aszlabhardware/reservations","Microsoft.AszLabHardware reservation","Microsoft.AszLabHardware reservations","microsoft.aszlabhardware reservation","microsoft.aszlabhardware reservations","false","A physical computer which can be reserved for use by a user","https://microsoft.github.io/finops-toolkit/svg/microsoft.aszlabhardware/reservations.svg",""
"microsoft.aszlabhardware/reservations/servers","Microsoft.AszLabHardware reservations server","Microsoft.AszLabHardware reservations servers","microsoft.aszlabhardware reservations server","microsoft.aszlabhardware reservations servers","false","Microsoft.AszLabHardware/Reservation/Server resource","https://microsoft.github.io/finops-toolkit/svg/microsoft.aszlabhardware/reservations/servers.svg",""
"microsoft.aszlabhardware/servers","Microsoft.AszLabHardware server","Microsoft.AszLabHardware servers","microsoft.aszlabhardware server","microsoft.aszlabhardware servers","false","A Server object which will be connected to a LabServer upon successful reservation","https://microsoft.github.io/finops-toolkit/svg/microsoft.aszlabhardware/servers.svg",""
"microsoft.attestation/attestationproviders","Attestation provider","Attestation providers","attestation provider","attestation providers","false","Microsoft Azure Attestation is a solution for attesting Trusted Execution Environments (TEEs) such as Intel® Software Guard Extensions (SGX) enclaves and Virtualization-based Security (VBS) enclaves. Attestation is a process of demonstrating that software binaries were properly instantiated on a trusted platform.","https://microsoft.github.io/finops-toolkit/svg/microsoft.attestation/attestationproviders.svg","[{""title"":""Get consistent"",""uri"":""https://docs.microsoft.com/powershell/module/az.attestation""},{""title"":""Learn more"",""uri"":""https://docs.microsoft.com/powershell/module/az.attestation/get-azattestationpolicy""}]"
"microsoft.authorization/accessreviewhistorydefinitions","Microsoft.Authorization access review history definition","Microsoft.Authorization access review history definitions","microsoft.authorization access review history definition","microsoft.authorization access review history definitions","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.authorization/accessreviewhistorydefinitions.svg",""
"microsoft.authorization/accessreviewscheduledefinitions","Microsoft.Authorization access review schedule definition","Microsoft.Authorization access review schedule definitions","microsoft.authorization access review schedule definition","microsoft.authorization access review schedule definitions","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.authorization/accessreviewscheduledefinitions.svg",""
"microsoft.authorization/accessreviewscheduledefinitions/instances","Microsoft.Authorization access review schedule definitions instance","Microsoft.Authorization access review schedule definitions instances","microsoft.authorization access review schedule definitions instance","microsoft.authorization access review schedule definitions instances","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.authorization/accessreviewscheduledefinitions/instances.svg",""
"microsoft.authorization/accessreviewscheduledefinitions/instances/decisions","Microsoft.Authorization access review schedule definitions instances decision","Microsoft.Authorization access review schedule definitions instances decisions","microsoft.authorization access review schedule definitions instances decision","microsoft.authorization access review schedule definitions instances decisions","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.authorization/accessreviewscheduledefinitions/instances/decisions.svg",""
"microsoft.authorization/accessreviewschedulesettings","Microsoft.Authorization access review schedule setting","Microsoft.Authorization access review schedule settings","microsoft.authorization access review schedule setting","microsoft.authorization access review schedule settings","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.authorization/accessreviewschedulesettings.svg",""
"microsoft.authorization/datapolicymanifests","Microsoft.Authorization data policy manifest","Microsoft.Authorization data policy manifests","microsoft.authorization data policy manifest","microsoft.authorization data policy manifests","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.authorization/datapolicymanifests.svg",""
"microsoft.authorization/denyassignments","Microsoft.Authorization deny assignment","Microsoft.Authorization deny assignments","microsoft.authorization deny assignment","microsoft.authorization deny assignments","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.authorization/denyassignments.svg",""
"microsoft.authorization/locks","Microsoft.Authorization lock","Microsoft.Authorization locks","microsoft.authorization lock","microsoft.authorization locks","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.authorization/locks.svg",""
"microsoft.authorization/policyassignments","Microsoft.Authorization policy assignment","Microsoft.Authorization policy assignments","microsoft.authorization policy assignment","microsoft.authorization policy assignments","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.authorization/policyassignments.svg",""
"microsoft.authorization/policydefinitions","Microsoft.Authorization policy definition","Microsoft.Authorization policy definitions","microsoft.authorization policy definition","microsoft.authorization policy definitions","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.authorization/policydefinitions.svg",""
"microsoft.authorization/policydefinitions/versions","Microsoft.Authorization policy definitions version","Microsoft.Authorization policy definitions versions","microsoft.authorization policy definitions version","microsoft.authorization policy definitions versions","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.authorization/policydefinitions/versions.svg",""
"microsoft.authorization/policyexemptions","Microsoft.Authorization policy exemption","Microsoft.Authorization policy exemptions","microsoft.authorization policy exemption","microsoft.authorization policy exemptions","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.authorization/policyexemptions.svg",""
"microsoft.authorization/policysetdefinitions","Microsoft.Authorization policy set definition","Microsoft.Authorization policy set definitions","microsoft.authorization policy set definition","microsoft.authorization policy set definitions","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.authorization/policysetdefinitions.svg",""
"microsoft.authorization/policysetdefinitions/versions","Microsoft.Authorization policy set definitions version","Microsoft.Authorization policy set definitions versions","microsoft.authorization policy set definitions version","microsoft.authorization policy set definitions versions","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.authorization/policysetdefinitions/versions.svg",""
"microsoft.authorization/privatelinkassociations","Microsoft.Authorization private link association","Microsoft.Authorization private link associations","microsoft.authorization private link association","microsoft.authorization private link associations","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.authorization/privatelinkassociations.svg",""
"microsoft.authorization/provideroperations","Microsoft.Authorization provider operation","Microsoft.Authorization provider operations","microsoft.authorization provider operation","microsoft.authorization provider operations","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.authorization/provideroperations.svg",""
"microsoft.authorization/resourcemanagementprivatelinks","Resource management private link","Resource management private links","resource management private link","resource management private links","false","Use resource management private links to limit access to Azure Resource Manager's operations by blocking users who aren't connected from a specific private endpoint. You can also block activity coming from public networks.","https://microsoft.github.io/finops-toolkit/svg/microsoft.authorization/resourcemanagementprivatelinks.svg","[{""title"":""Learn more"",""uri"":""https://go.microsoft.com/fwlink/?linkid=2131591""}]"
"microsoft.authorization/roleassignmentapprovals","Microsoft.Authorization role assignment approval","Microsoft.Authorization role assignment approvals","microsoft.authorization role assignment approval","microsoft.authorization role assignment approvals","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.authorization/roleassignmentapprovals.svg",""
"microsoft.authorization/roleassignmentapprovals/stages","Microsoft.Authorization role assignment approvals stage","Microsoft.Authorization role assignment approvals stages","microsoft.authorization role assignment approvals stage","microsoft.authorization role assignment approvals stages","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.authorization/roleassignmentapprovals/stages.svg",""
"microsoft.authorization/roleassignments","Microsoft.Authorization role assignment","Microsoft.Authorization role assignments","microsoft.authorization role assignment","microsoft.authorization role assignments","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.authorization/roleassignments.svg",""
"microsoft.authorization/roleassignmentscheduleinstances","Microsoft.Authorization role assignment schedule instance","Microsoft.Authorization role assignment schedule instances","microsoft.authorization role assignment schedule instance","microsoft.authorization role assignment schedule instances","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.authorization/roleassignmentscheduleinstances.svg",""
"microsoft.authorization/roleassignmentschedulerequests","Microsoft.Authorization role assignment schedule request","Microsoft.Authorization role assignment schedule requests","microsoft.authorization role assignment schedule request","microsoft.authorization role assignment schedule requests","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.authorization/roleassignmentschedulerequests.svg",""
"microsoft.authorization/roleassignmentschedules","Microsoft.Authorization role assignment schedule","Microsoft.Authorization role assignment schedules","microsoft.authorization role assignment schedule","microsoft.authorization role assignment schedules","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.authorization/roleassignmentschedules.svg",""
"microsoft.authorization/roledefinitions","Microsoft.Authorization role definition","Microsoft.Authorization role definitions","microsoft.authorization role definition","microsoft.authorization role definitions","false","","https://microsoft.github.io/finops-toolkit/svg/microsoft.authorization/roledefinitions.svg",""
